,Toss,MatchID,Toss_Decision,Margin,Winner,Date,Venue,TeamA,TeamB,HTH,WinningPerDes,Strength,Latest_Form
296,South Africa,461567,field,1 wicket,Pakistan,10/31/2010 0:00,Abu Dhabi,Pakistan,South Africa,0,1,-14.98678647,-12.79787738
297,Pakistan,461568,field,2 runs,South Africa,11/2/2010 0:00,Dubai (DSC),Pakistan,South Africa,0.5,0,-18.63633192,-14.54032558
298,Australia,446957,bat,1 wicket,Sri Lanka,11/3/2010 0:00,Melbourne,Australia,Sri Lanka,0,1,0.434968288,4.88853277
299,Sri Lanka,446959,field,8 wickets,Australia,11/7/2010 0:00,Brisbane,Australia,Sri Lanka,0,0.5,6.007966878,4.728617336
300,South Africa,461570,field,57 runs,South Africa,11/8/2010 0:00,Dubai (DSC),Pakistan,South Africa,0.5,0.5,-27.84966526,-13.36106554
301,New Zealand,467883,bat,40 runs,India,11/28/2010 0:00,Guwahati,India,New Zealand,0.5,0,-8.808484848,5.038739958
302,Bangladesh,486522,field,6 wickets,Bangladesh,12/3/2010 0:00,Dhaka,Bangladesh,Zimbabwe,0,0.7,7.229545455,-1.624617336
303,Bangladesh,486520,field,9 runs,Zimbabwe,12/1/2010 0:00,Dhaka,Bangladesh,Zimbabwe,0,0.8,3.278939394,-1.460435518
304,India,467885,field,9 wickets,India,12/4/2010 0:00,Vadodara,India,New Zealand,0.75,0,0.01530303,2.449818182
305,India,467886,field,5 wickets,India,12/7/2010 0:00,Bangalore,India,New Zealand,0.8,0,-6.325486258,1.326545455
306,Zimbabwe,486523,bat,65 runs,Bangladesh,12/6/2010 0:00,Dhaka,Bangladesh,Zimbabwe,0.5,0.3,3.682424242,-1.315805497
307,Zimbabwe,486526,field,6 wickets,Bangladesh,12/12/2010 0:00,Chittagong,Bangladesh,Zimbabwe,0.666666667,0,4.936363636,-0.868448203
308,New Zealand,467887,field,8 wickets,India,12/10/2010 0:00,Chennai,India,New Zealand,0.833333333,0,-8.876092319,1.010169133
309,India,467884,field,8 wickets,India,12/1/2010 0:00,Jaipur,India,New Zealand,0.666666667,0,-4.992272727,3.603551797
310,India,463151,bat,1 run,India,1/15/2011 0:00,Johannesburg,India,South Africa,0.5,0,-9.033301621,-9.343987315
311,South Africa,463150,field,135 runs,South Africa,1/12/2011 0:00,Durban,India,South Africa,0.666666667,0,-10.31845314,-11.88916279
312,England,446962,field,6 wickets,Australia,1/16/2011 0:00,Melbourne,Australia,England,0.4,0.333333333,-12.68730444,1.648422833
313,South Africa,463152,field,2 wickets,India,1/18/2011 0:00,Cape Town,India,South Africa,0.6,0,-13.67621212,-7.5102537
314,England,446963,bat,46 runs,Australia,1/21/2011 0:00,Hobart,Australia,England,0.5,0,1.821818182,1.902143763
315,Pakistan,473923,field,9 wickets,New Zealand,1/22/2011 0:00,Wellington,New Zealand,Pakistan,0,0,18.01224101,-0.063175476
316,England,446964,field,4 wickets,Australia,1/23/2011 0:00,Sydney,Australia,England,0.571428571,0,7.140119803,2.092325581
317,England,446965,field,21 runs,England,1/26/2011 0:00,Adelaide,Australia,England,0.625,0.5,6.850574348,2.402968288
318,Australia,446966,bat,51 runs,Australia,1/30/2011 0:00,Brisbane,Australia,England,0.555555556,0.333333333,0.338787879,2.223150106
319,New Zealand,473925,field,43 runs,Pakistan,1/29/2011 0:00,Christchurch,New Zealand,Pakistan,1,1,18.16421071,0.269357294
